system,marker,short_label,clinical_meaning,why_it_matters,functional_significance,low_interpretation,high_interpretation,pattern_links,recommendation_hint
Cardiovascular & circulation,Left Ventricular Effective Pump Power,Cardiac Pump Power,Reflects efficiency of heart contraction and forward blood flow,Essential for oxygen and nutrient delivery,Indicates cardiac output efficiency and circulatory strength,Reduced cardiac output and energy delivery,Compensatory cardiac strain or pressure load,Links to vascular resistance and perfusion pressure,Support mitochondria and circulation
Cardiovascular & circulation,Coronary Perfusion Pressure,Coronary Pressure,Indicates pressure driving blood into heart muscle,Ensures heart muscle oxygenation,Reflects vascular resistance and cardiac workload,Possible under-perfusion or low pressure states,Increased cardiac strain or vascular stiffness,Linked with vascular resistance and heart workload,Support vascular flexibility
Cardiovascular & circulation,Vascular Resistance,Vascular Resistance,Measures resistance within blood vessels,Affects blood pressure and flow efficiency,Indicates vascular tone and stiffness,Reduced vascular tone,Increased stiffness and circulatory strain,Links with inflammation and lipid metabolism,Anti-inflammatory and vascular support
Cardiovascular & circulation,Stroke Volume,Stroke Volume,Amount of blood pumped per heartbeat,Key determinant of cardiac output,Reflects cardiac strength and efficiency,Reduced cardiac efficiency,Compensatory overload,Linked to pump power and oxygen delivery,Cardiac support nutrients
Cardiovascular & circulation,Blood Viscosity,Blood Thickness,Indicates thickness of blood,Affects circulation and clot risk,Reflects hydration and metabolic health,Reduced oxygen carrying capacity,Increased clotting and sluggish flow,Links to lipid metabolism and hydration,Hydration and omega-3
Cardiovascular & circulation,Cholesterol Crystal,Cholesterol Structure,Reflects cholesterol stability and crystallisation,Related to plaque formation risk,Indicates lipid stability and vascular risk,Low structural support,Increased plaque formation risk,Links to triglycerides and inflammation,Lipid regulation support
Cardiovascular & circulation,Myocardial Oxygen Consumption,Heart Oxygen Use,Indicates oxygen demand of heart muscle,Reflects cardiac workload,Shows balance between demand and supply,Reduced activity or efficiency,Excessive cardiac strain,Linked to perfusion and energy production,CoQ10 support
Upper digestive function,Gastric Absorption Function Coefficient,Gastric Absorption,Reflects nutrient absorption at stomach level,Crucial for nutrient uptake,Indicates digestive efficiency,Reduced nutrient assimilation,Compensatory digestive strain,Links to vitamin deficiencies and gut function,Digestive support
Upper digestive function,Small Intestine Absorption Function Coefficient,Intestinal Absorption,Measures nutrient absorption in small intestine,Primary site of nutrient uptake,Indicates gut health and permeability,Malabsorption and deficiencies,Inflammatory gut response,Links to vitamins and immune function,Gut healing
Upper digestive function,Small Intestine Peristalsis Function Coefficient,Peristalsis,Reflects gut motility,Essential for digestion and elimination,Indicates movement efficiency,Sluggish digestion,Spasm or irregular movement,Links to microbiome and detox,Bitters and motility support
Lower digestive function,Large intestine peristalsis function coefficient,Colon Motility,Indicates bowel movement efficiency,Key for detoxification and elimination,Reflects colon function,Constipation and toxin buildup,Inflammatory bowel patterns,Links to microbiome and liver,Increase fibre and hydration
Lower digestive function,Intestinal bacteria coefficient,Microbiome Balance,Represents gut bacterial balance,Essential for immunity and metabolism,Indicates dysbiosis or balance,Reduced diversity,Overgrowth or imbalance,Links to immunity and digestion,Probiotics
Lower digestive function,Intraluminal pressure coefficient,Gut Pressure,Measures pressure within intestines,Affects comfort and motility,Indicates digestive tension or stagnation,Weak motility,Bloating and pressure,Links to fermentation and dysbiosis,Reduce fermentable load
