control_id,canonical_system,original_name,clinical_label,original_report_category,clinical_meaning,why_it_matters,functional_significance,low_interpretation,high_interpretation,pattern_links,recommendation_hint,pattern_cluster
M001,Cardiovascular & circulation,Blood Viscosity,Blood Viscosity,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the thickness and flow resistance of blood, indicating how efficiently it can move through vessels and deliver oxygen and nutrients to tissues.","Elevated viscosity increases circulatory strain, impairs microvascular perfusion, and raises the workload on the heart while reducing tissue oxygen delivery.","Closely linked to hydration status, haematocrit balance, inflammatory proteins, lipid burden, red-cell aggregation, and endothelial function.","Generally suggests easier flow characteristics and lower resistance to perfusion, although interpretation should still be correlated with oxygen-carrying capacity and overall blood quality.","Indicates sluggish circulation, greater vascular resistance, impaired microcirculation, or increased cardiovascular strain driven by dehydration, inflammation, lipid burden, or altered blood composition.","High viscosity -> reduced microcirculation -> lower tissue oxygenation -> fatigue, headaches, and cardiovascular stress; inflammatory and lipid burdens often intensify the pattern.","Support blood-flow quality, hydration, endothelial health, and reduction of inflammatory or lipid factors that increase circulatory resistance.","Cardiovascular, Circulation, Blood, Inflammation"
M002,Cardiovascular & circulation,Cholesterol Crystal,Cholesterol Crystal,(Cardiovascular and Cerebrovascular) Analysis Report Card,Reflects altered cholesterol handling and a tendency toward less soluble or more atherogenic lipid states within circulation.,"Disturbed cholesterol dynamics can indicate vascular risk, inflammatory oxidation of lipids, impaired bile-dependent cholesterol disposal, and broader cardiometabolic strain.","Interacts with liver cholesterol metabolism, bile secretion, oxidative stress, thyroid signalling, and inflammatory modification of lipid particles.",Lower values generally suggest less evidence of unstable or concentrated cholesterol burden when considered alongside broader lipid markers.,"Indicates less favourable cholesterol handling, oxidative or inflammatory lipid stress, or a tendency toward more damaging vascular lipid patterns.",Poor bile flow + liver congestion → weaker cholesterol disposal; oxidative stress can make lipid particles more damaging to vascular endothelium and amplify inflammatory risk.,"Improve hepatic cholesterol processing, support bile flow, and reduce oxidative-inflammatory factors destabilising lipid balance.","Blood Lipids, Liver, Cardiovascular, Inflammation"
M003,Cardiovascular & circulation,Blood Fat,Blood Fat,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the circulating fat burden within blood, indicating how effectively lipids are being transported, cleared, and metabolically handled.","Raised circulating fat is a functional marker of dyslipidaemia, insulin resistance, hepatic lipid overproduction, and increased vascular-inflammatory risk.","Linked to liver fat handling, insulin sensitivity, thyroid function, mitochondrial beta oxidation, and the balance between storage and utilisation of fuels.",Generally suggests lower circulating lipid burden and more favourable lipid handling when interpreted alongside nutritional status and broader metabolic markers.,"Indicates increased lipid transport burden, poor fat clearance, hepatic overproduction, or a broader cardiometabolic stress pattern.",Insulin resistance + hepatic lipogenesis -> elevated circulating fat -> endothelial stress and vascular burden; low thyroid and poor oxidation can worsen persistence.,Improve lipid handling and insulin sensitivity while reducing hepatic and dietary drivers of excessive circulating fat.,"Cardiovascular, Blood Lipids, Liver, Metabolic"
M004,Cardiovascular & circulation,Vascular Resistance,Vascular Resistance,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the resistance encountered by blood as it moves through the vascular tree, indicating vessel tone, flexibility, and microvascular openness.","Higher vascular resistance forces the heart to work harder and reduces downstream tissue perfusion, increasing the risk of hypertension-type strain and poor oxygen delivery.","Linked to endothelial nitric oxide signalling, arterial elasticity, blood viscosity, autonomic tone, inflammation, and smooth muscle constriction.",Suggests lower circulatory opposition to flow and more favourable vessel compliance when interpreted alongside pressure and perfusion markers.,"Indicates vasoconstrictive stress, endothelial dysfunction, elevated blood thickness, sympathetic overdrive, or reduced arterial flexibility.",Stress + endothelial dysfunction + high viscosity -> increased vascular resistance -> higher cardiac workload and lower tissue perfusion.,"Support endothelial relaxation, microcirculation, and reduction of inflammatory or autonomic drivers that tighten vascular tone.","Cardiovascular, Circulation, Endothelial Function, Stress"
M005,Cardiovascular & circulation,Vascular Elasticity,Vascular Elasticity,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the compliance and recoil capacity of blood vessels, indicating how well vascular connective tissue can expand and return without excessive stiffness.","Healthy vascular elasticity is essential for stable blood pressure, microcirculatory delivery, and protection against endothelial and cardiovascular strain.","Depends on collagen-elastin integrity, magnesium status, oxidative stress control, glycation burden, inflammatory tone, and endothelial nitric oxide signalling.","Suggests vascular stiffness, reduced connective tissue resilience, glycation damage, mineral imbalance, or inflammatory-endothelial stress.","May indicate preserved vessel compliance or, in some contexts, reactive vascular tone that should be interpreted alongside circulation markers.","Oxidative stress, high blood sugar, and low magnesium can reduce vascular elasticity; collagen-elastin degradation increases cardiovascular burden and reduces tissue perfusion efficiency.","Support vascular connective tissue resilience and reduce oxidative, glycaemic, and inflammatory factors that promote arterial stiffness.","Connective Tissue, Vascular, Cardiovascular, Inflammation"
M006,Cardiovascular & circulation,Myocardial Blood Demand,Myocardial Blood Demand,(Cardiovascular and Cerebrovascular) Analysis Report Card,Reflects the oxygen and nutrient demand placed on cardiac muscle tissue during its workload.,"When myocardial demand rises disproportionately, the heart becomes more vulnerable to ischemic strain, reduced efficiency, and fatigue under stress.","Linked to heart rate, pressure load, ventricular workload, oxygen delivery, mitochondrial energy production, and vascular supply adequacy.","Suggests lower immediate oxygen demand on the myocardium, often consistent with a lower workload state if overall pump function is preserved.","Indicates increased cardiac workload, elevated oxygen demand, or compensatory strain related to pressure, resistance, or reduced pump efficiency.",High vascular resistance + reduced perfusion + elevated sympathetic tone -> increased myocardial demand with reduced reserve margin.,Reduce cardiac workload drivers and improve perfusion efficiency so myocardial demand is better matched by oxygen supply.,"Cardiovascular, Oxygenation, Stress, Energy"
M007,Cardiovascular & circulation,Myocardial Blood Perfusion Volume,Myocardial Perfusion,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the adequacy of blood flow reaching cardiac muscle tissue, indicating how well the myocardium is being nourished and oxygenated.",Cardiac muscle depends on continuous perfusion to maintain rhythmic contraction and metabolic stability; impaired perfusion increases the risk of ischemic stress and reduced output.,"Linked to coronary circulation, blood viscosity, perfusion pressure, endothelial function, and the balance between myocardial demand and supply.","Suggests reduced nourishment of the myocardium, impaired coronary flow, or inadequate oxygen delivery relative to workload.","Generally indicates stronger perfusion support, although interpretation should be matched to myocardial demand and vascular context.","Low perfusion + high myocardial demand -> cardiac strain; viscosity, endothelial dysfunction, or reduced coronary pressure can all reduce perfusion volume.","Support coronary flow, endothelial health, and blood-flow quality so myocardial perfusion is adequate for the heart's workload.","Cardiovascular, Coronary Flow, Oxygenation, Circulation"
M008,Cardiovascular & circulation,Myocardial Oxygen Consumption,Myocardial Oxygen Consumption,(Cardiovascular and Cerebrovascular) Analysis Report Card,Reflects the oxygen utilisation requirement of heart muscle tissue during its pumping activity.,"Cardiac muscle has a very high metabolic demand, so increased oxygen consumption without matched delivery can indicate strain and reduced energetic efficiency.","Linked to myocardial workload, mitochondrial ATP generation, coronary perfusion, heart rate, and oxygen transport capacity.","May indicate a lower workload state or reduced energetic demand, but should be interpreted alongside pump efficiency and perfusion markers.",Indicates increased cardiac metabolic demand and a potentially narrower safety margin if oxygen delivery or perfusion is compromised.,High workload + reduced coronary supply -> mismatch between oxygen consumption and delivery; stress and vascular resistance often increase this mismatch.,Improve oxygen delivery and reduce unnecessary cardiac workload to optimise myocardial energy efficiency.,"Cardiovascular, Oxygenation, Energy, Circulation"
M009,Cardiovascular & circulation,Stroke Volume,Stroke Volume,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the volume of blood ejected by the heart with each beat, indicating pumping efficiency and circulatory support capacity.","Stroke volume is central to tissue perfusion, exercise tolerance, and the efficiency with which the heart can meet systemic demands.","Linked to preload, myocardial contractility, afterload, ventricular filling, and overall cardiac-muscular energy availability.","Suggests weaker pumping efficiency, reduced ventricular filling or contractility, or increased afterload impairing forward flow.",Generally indicates stronger beat-by-beat output when matched to healthy rhythm and vascular conditions.,"High resistance + weak contractility -> reduced stroke volume; low stroke volume can contribute to fatigue, poor exercise tolerance, and reduced tissue perfusion.",Support pump efficiency and reduce afterload or perfusion barriers that limit effective cardiac output.,"Cardiovascular, Pump Function, Circulation, Energy"
M010,Cardiovascular & circulation,Left Ventricular Ejection Impedance,LV Ejection Impedance,(Cardiovascular and Cerebrovascular) Analysis Report Card,"Reflects the resistance faced by the left ventricle when ejecting blood into the arterial system, indicating afterload-related strain.",Greater ejection impedance increases myocardial workload and can reduce effective output while contributing to long-term ventricular stress.,"Linked to arterial stiffness, vascular resistance, blood pressure patterns, endothelial tone, and left-ventricular workload.",Suggests lower afterload and easier ventricular ejection into the arterial system.,"Indicates increased afterload, arterial stiffness, elevated vascular resistance, or greater strain on left-ventricular pumping.",Arterial stiffness + vascular resistance -> higher ejection impedance -> increased myocardial demand and reduced pump efficiency.,Reduce afterload and improve arterial compliance to support more efficient left-ventricular ejection.,"Cardiovascular, Arterial Stiffness, Pump Function, Circulation"
